"variable","mean","median","sd","mad","q5","q95"
"log_lik[646]",-8.4783007359,-8.4340748,0.197783309533674,0.168006378750002,-8.860598955,-8.25157648
"log_lik[647]",-8.40891704585,-8.40697335,0.0328020960080939,0.031289605830002,-8.46412783,-8.3584264
"log_lik[648]",-8.58450526065,-8.58436985,0.0282846928434358,0.02886451701,-8.63094378,-8.539127915
"log_lik[649]",-8.5753439982,-8.57402265,0.0314803001045227,0.0303342183899998,-8.628962165,-8.5262891
"log_lik[650]",-8.5383244926,-8.53691705,0.0315320914136347,0.0308068712700006,-8.590408905,-8.48961123
"log_lik[651]",-8.51843006835,-8.51718755,0.0328573141723483,0.0318524749199996,-8.575326695,-8.468012165
"log_lik[652]",-8.44037380565,-8.43985275,0.0290803056128683,0.0291433940699998,-8.48978087,-8.39455351
"log_lik[653]",-8.5946960718,-8.5924883,0.088043255991433,0.0876891182999994,-8.74062341,-8.455851615
"log_lik[654]",-8.56474994545,-8.5642147,0.028661741001129,0.0291598509299999,-8.61224836,-8.518516615
"log_lik[655]",-8.56611019225,-8.56404855,0.0334455345395353,0.0322374320100026,-8.6238807,-8.515843655
"log_lik[656]",-8.59595753355,-8.59146105,0.0422870302273643,0.039792168570001,-8.6705775,-8.535494805
"log_lik[657]",-8.9351694455,-8.925773,0.139941171709536,0.13684561086,-9.17909081,-8.71536978
"log_lik[658]",-8.6503727669,-8.6485032,0.0332846674713669,0.0318398728200011,-8.708142955,-8.5997079
"log_lik[659]",-8.52440792385,-8.5199165,0.0457736830250346,0.0457610420400009,-8.603288515,-8.456375875
"log_lik[660]",-8.7325012269,-8.72449765,0.0822876592152444,0.0819847406700012,-8.88005513,-8.61314417
"log_lik[661]",-8.73123460605,-8.7252477,0.0711889553353153,0.0695476540499995,-8.85677214,-8.627209945
"log_lik[662]",-8.93742562275,-8.92955095,0.0997468888416842,0.0982780698900007,-9.112886195,-8.786640545
"log_lik[663]",-8.5494227767,-8.5482061,0.0325472063344442,0.0325710911400001,-8.605629685,-8.50029235
"log_lik[664]",-8.5534653554,-8.5528605,0.0290470084027852,0.0297400664400001,-8.600998585,-8.50741269
"log_lik[665]",-8.783702084,-8.77747535,0.0729367367709178,0.0710080150499995,-8.91191839,-8.67483205
"log_lik[666]",-8.2789476927,-8.2726998,0.0974051531240993,0.0973150470600002,-8.44658458,-8.13071124
"log_lik[667]",-58.2609311115,-58.1984805,2.8307275606596,2.85771075869999,-63.0912121,-53.7699754
"log_lik[668]",-15.4636284145,-15.451963,0.583942162951082,0.600276570599999,-16.4527739,-14.53526215
"log_lik[669]",-8.27171849305,-8.2702882,0.0322181897879454,0.0316419457199991,-8.32650819,-8.222573365
"log_lik[670]",-8.35845122765,-8.3548697,0.037240144144854,0.0372639649200002,-8.42165721,-8.30418268
"log_lik[671]",-8.31497172185,-8.31340305,0.0302334849196248,0.0289857195599995,-8.367720875,-8.26776537
"log_lik[672]",-8.23239116855,-8.2285106,0.0472127008992579,0.0441252153300006,-8.314292865,-8.16316255
"log_lik[673]",-8.24664000655,-8.2434364,0.0495975059915754,0.0502854183300005,-8.332261085,-8.17217098
"log_lik[674]",-8.286607544,-8.28101865,0.0560728500141465,0.055069990919999,-8.38428618,-8.204805985
"log_lik[675]",-8.2961254189,-8.2934923,0.0342570262173688,0.0322527769200002,-8.3545271,-8.24468791
"log_lik[676]",-8.16451450485,-8.16297035,0.0297725390981414,0.0288742280399989,-8.21515665,-8.11731033
"log_lik[677]",-8.4734261711,-8.4628893,0.118626106661003,0.117505909290001,-8.68455403,-8.302022
"log_lik[678]",-8.34476373365,-8.34297355,0.0322743969240113,0.0306668396999997,-8.399099475,-8.29535695
"log_lik[679]",-8.4251651192,-8.4238444,0.0297539960381134,0.0291267148199998,-8.47401699,-8.378675115
"log_lik[680]",-8.51005078915,-8.50636915,0.0415509583797143,0.0406742414400009,-8.58292043,-8.449963525
"log_lik[681]",-8.5337740817,-8.4907918,0.158351431709381,0.121414635930001,-8.844633215,-8.366562205
"log_lik[682]",-8.1497828764,-8.146245,0.0842291665564641,0.0815381815499999,-8.2979705,-8.02744191
"log_lik[683]",-8.2494747993,-8.2485308,0.0285002847164663,0.027981851100001,-8.296809685,-8.204250765
"log_lik[684]",-8.25430412645,-8.2514348,0.0342447805750644,0.0335315935500027,-8.312918505,-8.202924235
"log_lik[685]",-8.36150381795,-8.3564195,0.0524149572307689,0.053008361489999,-8.4518961,-8.28469651
"log_lik[686]",-8.27254869845,-8.2720821,0.0280205463075133,0.0271045966800007,-8.31977044,-8.227920185
"log_lik[687]",-8.10184835225,-8.099766,0.033696911633338,0.0327110485800002,-8.160955705,-8.05074543
"log_lik[688]",-8.2829952558,-8.28002845,0.0393627776480595,0.0383266926000004,-8.351130055,-8.225091545
"log_lik[689]",-8.35845626945,-8.3515428,0.0566116730031218,0.05606021946,-8.45936911,-8.27730372
"log_lik[690]",-8.45607958835,-8.4501424,0.0870844509458108,0.0880224809099987,-8.612679955,-8.32682047
"log_lik[691]",-10.72608985225,-10.709158,0.572448447469156,0.543921461999999,-11.6937778,-9.80002298
"log_lik[692]",-9.3858912273,-9.38261845,0.178434053932106,0.174060501720001,-9.68359638,-9.108751385
