"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lp__",24653242.773,24653243,2.2518842844321,1.4826,24653239,24653246,1.00097711065855,2421.43048639454,3475.40514751759
"beta[1]",7.83911133765,7.8391169,0.00218564346994589,0.0021619273199988,7.835477755,7.84269613,1.00287241433342,1715.86377210401,2426.42584753987
"beta[2]",0.331541751298333,0.331536885,0.00232905039078195,0.002301076743,0.3276953995,0.335325459,1.00334086037853,1561.00605321862,1867.99745605828
"beta[3]",0.227698140556667,0.22771899,0.00290906170096989,0.00286026898500003,0.2228793535,0.232500134,1.00292668404706,1529.34553559467,1831.29999862875
"beta[4]",0.451768505298333,0.451736495,0.00201616968182727,0.00201244417499999,0.4485190395,0.45514171,1.00224304479293,1904.43252828506,2768.84041124727
"beta[5]",0.459621645921667,0.459632305,0.00114330765557369,0.00116056445400001,0.457725493,0.4614727625,1.00049179025947,5115.96426603665,4218.31197865032
"beta[6]",0.242954214698333,0.242947555,0.00104112287206854,0.00100400930700001,0.241214702,0.244664604,1.00100773315145,2472.07920420033,3273.05540557267
"beta[7]",-0.0869515973841667,-0.0869493075,0.000618852224051619,0.000618388012199987,-0.08795637955,-0.0859422497,1.00008804311185,8223.88443503365,4781.2218892986
"beta[8]",-0.0624120708355,-0.06240995,0.000611884902455973,0.000617061085200006,-0.06341895815,-0.06140571615,0.999800576296731,8886.55899794794,5126.60148915565
"beta[9]",0.0187311410315,0.018715941,0.00123959107003388,0.0012493773831,0.0166950339,0.0207540498,1.0002278226951,4467.31427913134,3922.65204081232
"beta[10]",-0.146588133226667,-0.146555385,0.00370965896222513,0.00364841914499998,-0.152695312,-0.1404269105,1.00128950273731,2596.37060522317,3390.46970093929
"log_lik[1]",-275.874520763333,-275.8652,1.91253268235295,1.89883253700004,-279.0437975,-272.785077,1.00161009841859,2636.47844874674,4343.01565849127
"log_lik[2]",-440.268801598333,-440.248485,2.26284890844462,2.23374446400005,-444.018266,-436.5483135,1.00198694130927,2329.36602877565,3655.21965263475
"log_lik[3]",-83.3345025106667,-83.3357265,0.977863349670424,0.994780121999995,-84.9331458,-81.7241067,1.00085845461727,5149.72666062409,5059.02721798578
"log_lik[4]",-25.4114727316667,-25.414653,0.496274412497956,0.4998674856,-26.22880815,-24.61086605,1.00077792350114,4947.67896693366,5251.87992226587
"log_lik[5]",-55.910721125,-55.905412,0.836152122456638,0.838648998600003,-57.28640485,-54.54130655,1.00087054133817,4410.46264362357,4808.82292338293
"log_lik[6]",-53.8955867958333,-53.8922925,0.909310196701407,0.9356792382,-55.40254995,-52.418083,1.00055533463838,5158.83556027316,5277.22039325856
"log_lik[7]",-50.7121861375,-50.7128095,0.765352656889901,0.777259721699991,-51.97662005,-49.4648253,1.00075417808651,5016.79597384182,5149.77454474841
"log_lik[8]",-165.829681566667,-165.823785,1.34432336869219,1.32483653400003,-168.037289,-163.612919,1.00072697981809,4432.32935168968,4521.18094362563
"log_lik[9]",-210.339559438333,-210.332175,1.68390075054212,1.66352909100002,-213.127132,-207.5509605,1.00034492666942,5512.22527052899,4560.19810527718
"log_lik[10]",-59.8972749013333,-59.9038995,0.811698248995788,0.830737844999998,-61.2405097,-58.57360825,1.00136628996893,6121.630473089,5515.89779936409
"log_lik[11]",-68.5799890316667,-68.5716595,0.905128368542373,0.922263190799983,-70.0546408,-67.1132192,1.00042080905928,5785.8883328699,5258.97049705433
"log_lik[12]",-61.1074906376667,-61.0965495,0.780693276404279,0.784698667200009,-62.40457755,-59.83081875,1.00157931143382,6157.73045814272,5166.9875983922
"log_lik[13]",-28.1356035913333,-28.1346975,0.540292637616077,0.544959281999998,-29.02288935,-27.26032765,1.00182580218781,6157.13995359652,5034.32893422199
"log_lik[14]",-57.4073829561667,-57.4010075,0.864403099244256,0.884238207300007,-58.83303045,-56.00660975,1.00066987897049,5947.2324414579,5430.2150558978
"log_lik[15]",-164.272944626667,-164.264865,1.48871906823213,1.487366559,-166.726521,-161.8118335,1.00136198438457,3420.41729545592,4209.2936508969
"log_lik[16]",-172.064652578333,-172.05768,1.47877815697796,1.480813467,-174.4843565,-169.6645135,1.00139024047101,3381.41883505021,4233.0588957213
"log_lik[17]",-102.571013495833,-102.56367,2.01850136960932,2.00788518,-105.9087255,-99.32842905,1.00128201814176,2994.37551806528,3066.18785098456
"log_lik[18]",-341.826762181667,-341.83139,1.9603779955119,1.973718663,-345.0209825,-338.650927,1.00049499825959,5386.93386125212,5105.50855570177
"log_lik[19]",-12.3745782806667,-12.374614,0.295453884043282,0.2932093542,-12.85855565,-11.8961706,1.00129486747452,3401.15590097853,4338.05785257118
"log_lik[20]",-5.8247353215,-5.82210475,0.115295493155042,0.11527459629,-6.01876348,-5.638333155,1.00129129694839,3550.14654668879,4267.15535271747
"log_lik[21]",-8.18471383743333,-8.17870375,0.227064601965627,0.22495704777,-8.5596893,-7.81751558,1.00155906103067,6277.76014304818,4872.23151275439
"log_lik[22]",-166.898940975,-166.895055,1.65886851612043,1.66229112000002,-169.632241,-164.158547,1.00032743988558,5602.04142692941,5113.68544556027
"log_lik[23]",-143.130097595,-143.1186,1.37336502834567,1.34832833099998,-145.384921,-140.8488165,1.00042526200375,5293.06551144751,4863.69434959732
"log_lik[24]",-29.705440181,-29.7057245,0.613195250998818,0.6284103882,-30.7230801,-28.7085359,1.00143529488587,6819.55406223895,5458.31929759332
"log_lik[25]",-6.3830792034,-6.37872145,0.150649293051083,0.153470004660001,-6.63426655,-6.140446225,1.00083376402937,4532.24547783993,4850.00489599435
"log_lik[26]",-399.402634485,-399.3594,2.06575232104474,2.09721183000003,-402.8121795,-396.10195,1.00032485957386,6050.39627323699,4905.18798384225
"log_lik[27]",-741.348594378333,-741.34697,2.69194885168259,2.71222396199989,-745.7529375,-736.9769345,1.0005595062232,5375.253684974,5105.54255737566
"log_lik[28]",-90.5885995808333,-90.5834465,1.04980147210944,1.05286839000001,-92.29724765,-88.87671765,1.00051924356649,5393.92017514418,4907.23297005211
"log_lik[29]",-142.34783585,-142.32876,1.3124093604822,1.31000312099999,-144.533837,-140.1926395,1.00096472734899,3944.79989559112,4586.52587023371
"log_lik[30]",-171.304109151667,-171.306745,1.62483832509669,1.61277969299998,-174.025571,-168.6542135,1.00088320448284,4084.3659534927,4659.8595381285
"log_lik[31]",-20.8102371528333,-20.8089475,0.425931303465523,0.4340778519,-21.5159317,-20.1278823,1.0009147761167,5394.52220253534,4995.32270131457
"log_lik[32]",-42.4345687691667,-42.418239,0.820221498194527,0.8289031275,-43.77323425,-41.0947013,1.00036513053477,5865.40978678456,4845.58422910414
"log_lik[33]",-7.89982656676667,-7.8958908,0.198899251998794,0.20089356021,-8.22786388,-7.585572675,1.00077996572853,4439.33060842562,4850.78256597048
"log_lik[34]",-22.439817232,-22.4379785,0.478294487405612,0.478309740299999,-23.22517725,-21.661646,1.0009321878509,5534.18387913935,4586.31343936663
"log_lik[35]",-16.1503866015,-16.147071,0.393432150194175,0.397493955600001,-16.80353925,-15.51128435,1.00072707660428,4789.68266939268,4985.69493980422
"log_lik[36]",-105.75308814,-105.735595,1.24345480068443,1.25913511499999,-107.8134725,-103.743309,1.0005388100157,4443.31387879772,4874.16051536707
"log_lik[37]",-57.1859655595,-57.184603,0.879343005446838,0.872986755899992,-58.62710915,-55.73425375,1.00175840964655,2815.99959761052,4037.21755670836
"log_lik[38]",-29.1225654246667,-29.112187,0.665972497070017,0.673002548399998,-30.2317398,-28.03477185,1.00079682183099,4309.46364194532,4628.41768495266
"log_lik[39]",-9.24917442633333,-9.2459692,0.252717398958023,0.252856095659998,-9.669995545,-8.840696645,1.00142651096268,5476.50299400496,5002.44733112532
"log_lik[40]",-9.97840283158333,-9.9778067,0.268669165453275,0.27221988948,-10.42900395,-9.54726126,1.00170348208145,6412.56928419051,5546.03028787532
"log_lik[41]",-21.4308249238333,-21.4318125,0.477618462190809,0.489318045300001,-22.2230572,-20.6575183,1.00134980566143,6294.51014791689,5601.81487224707
"log_lik[42]",-19.1336284763333,-19.1271015,0.486211507222616,0.4961987919,-19.93904685,-18.34653685,1.00050506689556,5395.60309962224,5412.37732629112
"log_lik[43]",-44.0436508566667,-44.036124,0.702826599864819,0.702627861600004,-45.2012808,-42.88403015,1.00129996291375,3465.41041391021,4240.44926537666
"log_lik[44]",-72.1046657141667,-72.088278,1.00807591710547,0.992902409100006,-73.77404745,-70.4364541,1.00198188902215,2611.87554655948,3565.74669687941
"log_lik[45]",-32.3234406826667,-32.3081925,0.885851563535974,0.888016613400006,-33.79326875,-30.859534,1.00138263262603,3205.04903422925,4166.64826607344
"log_lik[46]",-29.0774382661667,-29.0687435,0.666097061223544,0.658364097300001,-30.179493,-27.9847867,1.00095530475134,4131.30868848517,4169.77874339796
"log_lik[47]",-6.56134607401667,-6.55760245,0.166276887912215,0.16580760882,-6.83910039,-6.29173684,1.00164988073839,2951.72103870448,4190.45926432668
"log_lik[48]",-4.90196791081667,-4.8974997,0.0369013746494825,0.0356583832500004,-4.969877565,-4.849482905,1.00264417792971,1929.55530802042,3393.70956933852
"log_lik[49]",-14.3569028301667,-14.3554345,0.50720844851755,0.506789744999999,-15.21914795,-13.53673195,1.00271722838839,1790.46080281474,3071.65281416623
"log_lik[50]",-101.288311465167,-101.26417,2.11203870445326,2.1397142655,-104.804907,-97.84432605,1.00092259539003,4139.13494427327,4586.23112981206
"log_lik[51]",-30.9744589861667,-30.9638085,0.662404221346472,0.660523504200001,-32.0664188,-29.8858564,1.00171962471082,2908.2409348438,3981.61141892186
"log_lik[52]",-79.6882493206667,-79.692117,1.81042172162531,1.75911083040001,-82.7182138,-76.72086965,1.00189179561907,2739.96021281968,3099.52146797754
"log_lik[53]",-32.166089622,-32.166223,0.551232749384953,0.558144043799999,-33.08203435,-31.27343995,1.00114941703333,5336.37221331795,5086.30558140044
"log_lik[54]",-23.9592458453333,-23.9494955,0.626882229352868,0.640251173099996,-24.995921,-22.93996405,1.00058147881938,4913.37304249337,4886.70069779762
"log_lik[55]",-4.67604976476667,-4.6733124,0.00825734153315265,0.00582491300999981,-4.69257773,-4.6687571,1.00095099574614,3654.97876013793,4355.50818232048
"log_lik[56]",-42.5257025658333,-42.510629,0.763920007338988,0.756837647999996,-43.8010748,-41.3011763,1.00125372639651,3260.12987350409,4217.69882295264
"log_lik[57]",-5.55317054691667,-5.5498235,0.110069483716739,0.10965939705,-5.738489945,-5.37695318,1.00183556357761,2746.26192949649,3847.10214892112
"log_lik[58]",-23.1767422128333,-23.174267,0.570509038712582,0.563310904800001,-24.13442945,-22.25150195,1.0019805832214,2421.44186022357,3699.36834987661
"log_lik[59]",-46.8105259765,-46.808199,0.858734426304045,0.879248516999995,-48.2069801,-45.416385,1.00124051284367,3024.79157121014,4282.68724812794
"log_lik[60]",-8.84437768123333,-8.8420299,0.218451931170375,0.218971124400001,-9.208232445,-8.48713253,1.00134667325654,3470.18985727996,4275.15090913377
"log_lik[61]",-4.8034758024,-4.79952325,0.0283320378631211,0.02719051335,-4.85662119,-4.76493819,1.00162031037304,2962.27328717424,4166.78928801874
"log_lik[62]",-38.647707399,-38.6436445,0.7698293931075,0.782756461199998,-39.91813885,-37.381688,1.00084479096608,5267.14383383173,5079.51714121797
"log_lik[63]",-5.3047346393,-5.30122035,0.0816213810355636,0.0803891665499999,-5.443755215,-5.175568125,1.00127933706775,3572.32366247043,4107.25682261806
"log_lik[64]",-13.9109543341667,-13.9061145,0.401567065060094,0.397746738900001,-14.5695028,-13.25681825,1.00167819350787,2472.15154178739,3441.85262017921
"log_lik[65]",-395.601146155,-395.559075,2.65779568246604,2.66756805,-400.0766295,-391.3495155,1.00060814417252,3732.73018780332,4629.54611782259
"log_lik[66]",-8.2156582278,-8.2138816,0.220407649710984,0.22094683716,-8.581812275,-7.853153165,1.00099266252091,4388.81369860818,4860.88519337185
"log_lik[67]",-17.076676529,-17.074538,0.489700934369055,0.500390843399998,-17.8916331,-16.277587,1.00111903203977,3552.81132965289,4714.06147195207
"log_lik[68]",-8.74737130653333,-8.74243445,0.223906009603804,0.22337162946,-9.11385027,-8.391202975,1.00120557484449,3524.54901456387,4612.11224814206
"log_lik[69]",-1489.51850678333,-1489.52215,7.92159733809205,7.79113712999997,-1502.714995,-1476.46647,1.00090690886764,3841.97231571612,4236.98670386533
"log_lik[70]",-4.98975948048333,-4.98711015,0.0561337825741518,0.0550609470599999,-5.08965182,-4.90331845,1.00173194407101,2838.03313609391,4045.96414072079
"log_lik[71]",-7.45054170501667,-7.44755895,0.197181531093763,0.19443609591,-7.780151195,-7.13726369,1.00215631758368,2346.18645596705,3612.73910055752
"log_lik[72]",-16.9801073605,-16.978116,0.47154878143341,0.462722425199999,-17.763795,-16.21301035,1.00237231962627,2155.36494556764,3282.85166443246
"log_lik[73]",-23.0989995768333,-23.0951915,0.540615714106625,0.538020714000003,-23.9995332,-22.22857245,1.00162715465492,2860.46266530268,4248.16889025208
"log_lik[74]",-5.1149538481,-5.1112838,0.0673093963498631,0.0663630292500001,-5.231216035,-5.01018037,1.00175619843038,2767.66822142075,3900.73056633592
"log_lik[75]",-17.2844068785,-17.274268,0.420082072537061,0.422925734700001,-17.97720535,-16.6103345,1.00178250649835,2598.07922645358,3933.35611800158
"log_lik[76]",-40.8982613005,-40.8924865,0.762082692736926,0.75440618400001,-42.17437815,-39.67127525,1.00263908028191,1941.15877248781,3232.58001099441
"log_lik[77]",-33.7313473278333,-33.7254045,0.921365217848562,0.921462586799997,-35.28042475,-32.2320658,1.00284977834678,1696.04836915795,2607.20161927411
"log_lik[78]",-79.75626003,-79.764353,1.66688857044372,1.671616674,-82.4705591,-76.9884157,1.00196354740884,2405.52652182812,3803.05987393875
"log_lik[79]",-19.1300225591667,-19.122773,0.50269651017045,0.502062474899997,-19.9683853,-18.30774845,1.00220018658697,2394.86139989074,3402.18560900216
"log_lik[80]",-121.935530088333,-121.92095,1.3658935153347,1.390649148,-124.2212855,-119.7230785,1.00009014249558,4835.37406376539,4643.94688919884
"log_lik[81]",-56.4635166358333,-56.465492,0.831450770224013,0.832455437099997,-57.820914,-55.11409275,1.00041529349918,4415.42197176842,4798.84386538871
"log_lik[82]",-36.3853518761667,-36.374979,0.812091427659442,0.823808172600001,-37.73809385,-35.07574035,1.00029684735631,3820.73291374599,4167.85054475097
"log_lik[83]",-56.6972978913333,-56.690843,1.08163610706871,1.098035799,-58.49697695,-54.945815,1.0005137074989,3324.97888527164,3723.54603048391
"log_lik[84]",-68.0885188438333,-68.1093145,1.23242723977726,1.22496711540002,-70.10010485,-66.0279107,1.0008359395346,3023.11401192185,3941.65904195542
"log_lik[85]",-43.3056597663333,-43.303647,1.10134123431608,1.0871453607,-45.1300961,-41.5046364,1.00088700249276,3369.06052199538,4173.69357125337
"log_lik[86]",-257.761420016667,-257.790985,2.57762988911418,2.56338574800005,-261.9597615,-253.5575245,1.00091236774942,3159.39694356581,3901.29689971682
"log_lik[87]",-243.5649789,-243.57785,2.8184225357485,2.77807364100002,-248.1590925,-238.7966965,1.00065153370623,3666.23052361734,4311.4800730263
"log_lik[88]",-127.138873953333,-127.141315,1.94897716263066,1.92443703899999,-130.3327805,-123.8483875,1.00064167646888,3830.46529668854,4427.39402393155
"log_lik[89]",-340.073060506667,-340.090295,2.5194426493736,2.46891447600007,-344.2240045,-335.8363235,1.00075257852317,3166.63625906538,3951.09432383763
"log_lik[90]",-66.3341824711667,-66.29932,1.27789224871519,1.26966898800001,-68.4565499,-64.26756355,1.0004665030199,3551.01234721298,3937.59963915837
"log_lik[91]",-24.6725517335,-24.67598,0.638089619636949,0.6424276299,-25.7277347,-23.640322,1.00063984863268,3149.03519316872,3931.70902637308
"log_lik[92]",-48.2078921436667,-48.220695,0.9728162630484,0.969212684999997,-49.79227735,-46.61926705,1.00073954442349,3278.88032995452,3728.00324087499
"log_lik[93]",-6.05864546718333,-6.05242955,0.163182534025625,0.163749463499999,-6.33223999,-5.801686855,1.00086565910107,3867.46400243157,4233.60777951138
"log_lik[94]",-82.0711549223333,-82.0470275,1.52992076707004,1.53278897519999,-84.6499648,-79.58568515,1.00020491066056,7631.05119371022,5357.84238045482
"log_lik[95]",-188.408027658333,-188.39682,1.98016395164917,2.01105794400003,-191.705709,-185.1830525,1.00014607363221,5285.34530955174,4547.61283779481
"log_lik[96]",-37.0079736606667,-37.014592,0.775513468309727,0.7806444975,-38.26847045,-35.7147955,1.00062206038204,4007.73563812619,4837.28384789158
"log_lik[97]",-20.4711993158333,-20.471122,0.492550094522285,0.488697577199998,-21.29522375,-19.6594449,1.00043875831197,4572.79053167374,4665.14112080473
"log_lik[98]",-249.927427158333,-249.89982,2.16235676725599,2.19510790799998,-253.523311,-246.4405635,1.00035453010406,3708.60335859815,4036.75923420399
"log_lik[99]",-8.64577599623333,-8.6354467,0.326973564450128,0.33006048915,-9.18602773,-8.12476424,1.00034863692559,4074.61535428932,4060.70297776577
"log_lik[100]",-4.92590511753333,-4.91980315,0.0212501225041062,0.0176096556299999,-4.967186195,-4.904660805,1.00000779426235,4798.64625353561,5083.95405348682
"log_lik[101]",-8.22339013016667,-8.21818355,0.259749650286004,0.261921824009998,-8.667813815,-7.80470452,0.99995870396228,7957.76996138275,4864.0977642345
"log_lik[102]",-239.38877206,-239.371175,1.80005360702279,1.81033614299999,-242.39875,-236.4246725,1.00010803821023,6417.30460467074,4808.86929670021
"log_lik[103]",-69.4220811295,-69.416123,1.06830773299018,1.0832179533,-71.20836525,-67.70197175,1.00007122004418,4538.0741636313,4599.79328276783
"log_lik[104]",-59.9261075786667,-59.9235775,1.05449099313489,1.0462752678,-61.66234215,-58.17646775,1.00024727699407,6113.92588028202,4950.45338709423
"log_lik[105]",-35.813950304,-35.797366,1.5980687495954,1.5661585947,-38.47643975,-33.2051443,1.00037299031136,2945.07493375263,3574.35245155997
"log_lik[106]",-765.665047343333,-765.62373,4.01184662677512,4.03012192799999,-772.333893,-759.048093,1.00061315333919,5478.60101946839,4927.40896790374
"log_lik[107]",-26.6549473026667,-26.657626,0.70998036849921,0.713498284800001,-27.8141704,-25.4864598,1.00058431281797,4814.13759715822,4920.441184571
"log_lik[108]",-43.1037572126667,-43.1007615,0.763680333456427,0.763926699899996,-44.3637911,-41.849796,1.00026677310697,6902.06373941949,5170.78876851291
"log_lik[109]",-34.9070117831667,-34.909763,0.636107926527803,0.634550576099996,-35.9551155,-33.85639995,1.00007758484174,6514.1141171896,4950.83921676342
